ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
000001.SH,20160401,3009.53,14.24,3.523383374,96.20702199,11.5448675,2072.78
000001.SH,20160405,3053.065,14.43,5.167552526,97.92039341,12.81594723,2045.17
000001.SH,20160406,3050.592,14.41,5.225612138,116.3627483,12.78550092,2066.66
000001.SH,20160407,3008.42,14.21,3.982221274,105.0940088,15.44935082,2041.91
000001.SH,20160408,2984.958,14.1,3.254586665,79.9769196,13.19547686,2047.6
000001.SH,20160411,3033.957,14.35,5.041868329,88.62722258,13.08515137,2041.99
000001.SH,20160412,3023.646,14.3,4.680686906,88.39617852,12.96899679,2061.72
000001.SH,20160413,3066.638,14.5,6.142287912,96.65759784,13.15780959,2082.42
000001.SH,20160414,3082.362,14.58,6.604879958,113.7451697,13.18952398,2082.78
000001.SH,20160415,3078.117,14.59,6.414839586,140.1372088,12.96748326,2080.73
000001.SH,20160418,3033.66,14.43,4.797775574,137.1239383,12.71344102,2094.34
000001.SH,20160419,3042.823,14.46,5.03630737,146.1405393,11.65191925,2100.8
000001.SH,20160420,2972.584,14.16,2.632460005,99.69351602,16.30365467,2102.4
000001.SH,20160421,2952.891,14.07,1.966499229,103.3795394,15.94837033,2091.48
000001.SH,20160422,2959.24,14.09,2.139440645,99.15032144,16.12070114,2091.58
000001.SH,20160425,2946.67,14.04,1.687969496,86.18420043,15.65221787,2087.79
000001.SH,20160426,2964.7,14.15,2.294768827,76.86089981,15.29247078,2091.7
000001.SH,20160427,2953.671,14.11,1.794868007,64.33809857,14.28482738,2095.15
000001.SH,20160428,2945.589,14.09,1.394008165,64.49177413,11.58068593,2075.81
000001.SH,20160429,2938.324,14.3,0.980175232,63.62748489,11.58283866,2065.3
000001.SH,20160503,2992.643,14.55,2.696911661,77.62937326,13.64778366,2063.37
000001.SH,20160504,2991.272,14.54,2.472621769,75.70503837,11.60615627,2051.12
000001.SH,20160505,2997.842,14.57,2.552321901,74.45844299,11.609191,2050.63
000001.SH,20160506,2913.248,14.18,-0.440299156,71.15552962,15.40148495,2057.14
000001.SH,20160509,2832.113,13.81,-3.241229135,48.77675994,18.4269448,2058.69
000001.SH,20160510,2832.591,13.81,-3.262960456,47.3190118,17.78899851,2084.39
000001.SH,20160511,2837.037,13.84,-3.161194504,51.85779781,17.78889078,2064.46
000001.SH,20160512,2835.862,13.84,-3.200911262,43.68984904,17.80899903,2064.11
000001.SH,20160513,2827.109,13.81,-3.477595135,44.74631341,17.76595081,2046.61
000001.SH,20160516,2850.862,13.91,-2.65996263,47.54304234,19.15931325,2066.66
000001.SH,20160517,2843.684,13.88,-2.896021156,52.28084214,18.86321498,2047.21
000001.SH,20160518,2807.514,13.73,-4.065794374,37.56366172,19.09510838,2047.63
000001.SH,20160519,2806.906,13.74,-4.033870375,41.13862733,14.83506454,2040.04
000001.SH,20160520,2825.483,13.82,-3.341778145,32.83470307,15.78613906,2052.32
000001.SH,20160523,2843.645,13.9,-2.777228767,33.54182389,15.50056041,2048.04
000001.SH,20160524,2821.666,13.81,-3.558605692,31.38836194,15.77436529,2076.06
000001.SH,20160525,2815.0863,13.81,-3.853109022,37.97573791,15.70687198,2090.54
000001.SH,20160526,2822.443,13.82,-3.650809308,35.78578089,15.70085125,2090.1
000001.SH,20160527,2821.046,13.82,-3.682806631,41.64333806,15.64793522,2099.06
000001.SH,20160530,2822.451,13.84,-3.614374748,40.66597067,15.69913822,2099.06
000001.SH,20160531,2916.616,14.28,-0.422745394,54.8214782,21.00200248,2096.96
000001.SH,20160601,2913.508,14.27,-0.538007223,60.42740522,20.98861754,2099.33
000001.SH,20160602,2925.229,14.32,-0.151417936,59.94510481,21.05114209,2105.26
000001.SH,20160603,2938.682,14.38,0.264359263,61.81646505,14.72734715,2099.13
000001.SH,20160606,2934.098,14.37,0.034366317,64.10800979,10.53833346,2109.41
000001.SH,20160607,2936.045,14.38,0.029277932,64.4833619,10.60084315,2112.13
000001.SH,20160608,2927.159,14.34,-0.311761861,54.23172657,10.56552646,2119.12
000001.SH,20160613,2833.071,13.9,-3.498909297,44.33005916,14.51452917,2079.06
000001.SH,20160614,2842.189,13.95,-3.172804775,44.87312807,14.64763849,2075.32
000001.SH,20160615,2887.21,14.15,-1.629194554,55.54112453,17.78588658,2071.5
000001.SH,20160616,2872.817,14.08,-2.073798265,65.02347604,17.74678941,2077.99
000001.SH,20160617,2885.105,14.14,-1.580179485,68.75366845,17.05715697,2071.22
000001.SH,20160620,2888.809,14.16,-1.39184386,64.84167821,17.09052929,2083.25
000001.SH,20160621,2878.558,14.12,-1.668248332,74.18862208,17.11458843,2088.9
000001.SH,20160622,2905.55,14.26,-0.714872679,78.37236474,17.60031604,2085.45
000001.SH,20160623,2891.96,14.21,-1.129999847,72.99925081,17.31697301,2113.32
000001.SH,20160624,2854.286,14.02,-2.360393282,64.81887262,17.81211362,2037.41
000001.SH,20160627,2895.703,14.21,-0.929968931,80.47806621,19.73890045,2000.54
000001.SH,20160628,2912.557,14.29,-0.303270261,78.2490588,19.97987497,2036.09
000001.SH,20160629,2931.592,14.39,0.389718189,82.14920729,19.98246575,2070.77
000001.SH,20160630,2929.606,14.36,0.367492466,77.80648528,13.72796766,2098.86
000001.SH,20160701,2932.476,14.37,0.535042045,86.29820498,13.67759226,2102.95
000001.SH,20160704,2988.604,14.64,2.495599957,94.31808773,16.26907712,2102.95
000001.SH,20160705,3006.392,14.73,3.106843105,103.3521918,16.2978671,2088.55
000001.SH,20160706,3017.292,14.77,3.461546327,101.6741772,16.15800358,2099.73
000001.SH,20160707,3016.847,14.78,3.456403691,101.8147953,16.07937373,2097.9
000001.SH,20160708,2988.094,14.63,2.491206098,74.44022564,16.28382617,2129.9
000001.SH,20160711,2994.917,14.68,2.767369011,80.22144463,11.51518289,2137.16
000001.SH,20160712,3049.381,14.95,4.655982832,87.89455616,12.87951986,2152.14
000001.SH,20160713,3060.689,15.02,5.054550759,89.30051488,9.82756032,2152.43
000001.SH,20160714,3054.018,14.98,4.813369887,85.85269782,9.709249055,2163.75
000001.SH,20160715,3054.296,14.99,4.816032223,86.87483415,9.866978971,2161.74
000001.SH,20160718,3043.564,14.97,4.405349845,88.135633,9.971262379,2166.89
000001.SH,20160719,3036.598,14.93,4.11656295,104.6550119,9.340996355,2163.78
000001.SH,20160720,3027.9,14.9,3.777614323,103.0774749,9.17766397,2173.02
000001.SH,20160721,3039.009,14.96,4.103450644,104.0690653,8.819925434,2165.17
000001.SH,20160722,3012.816,14.87,3.177846704,101.6435889,8.469248601,2175.03
000001.SH,20160725,3015.828,14.91,3.244368115,96.56731903,6.719146471,2168.48
000001.SH,20160726,3050.166,15.07,4.357632463,107.7108157,6.978193476,2169.18
000001.SH,20160727,2991.999,14.83,2.336198875,83.86360293,10.29499978,2166.58
000001.SH,20160728,2994.323,14.82,2.414706495,78.44157627,10.29061316,2170.06
000001.SH,20160729,2979.339,14.78,1.909141625,80.65125095,10.5620733,2173.6
000001.SH,20160801,2953.385,14.69,1.0469874,83.9193343,8.011010976,2170.84
000001.SH,20160802,2971.279,14.76,1.625582853,80.24309453,8.183981501,2157.03
000001.SH,20160803,2978.461,14.8,1.786311183,78.95473141,8.105481785,2163.79
000001.SH,20160804,2982.426,14.81,1.834904329,71.99104594,8.09461902,2164.25
000001.SH,20160805,2976.696,14.79,1.558537267,72.30692634,7.949172134,2182.87
000001.SH,20160808,3004.277,14.92,2.401476507,72.82129117,8.590133007,2180.89
000001.SH,20160809,3025.681,15.03,3.014829674,65.85614772,6.714728059,2181.74
000001.SH,20160810,3018.746,15,2.680895699,61.75801143,6.681870939,2175.49
000001.SH,20160811,3002.638,14.94,2.041040053,63.80852912,6.79369242,2185.79
000001.SH,20160812,3050.667,15.19,3.530664332,74.70777279,8.554943669,2184.05
000001.SH,20160815,3125.195,15.56,5.869329007,102.9615448,11.42587062,2190.15
000001.SH,20160816,3110.037,15.45,5.186842832,93.37181759,11.8854275,2178.15
000001.SH,20160817,3109.555,15.43,5.013134169,81.34644921,11.76176363,2182.22
000001.SH,20160818,3104.114,15.37,4.662996088,78.21457014,11.81831339,2187.02
000001.SH,20160819,3108.102,15.39,4.625182905,81.20409705,11.02742641,2183.87
000001.SH,20160822,3084.805,15.34,3.688334194,78.07965505,11.66987603,2182.64
000001.SH,20160823,3089.706,15.43,3.696999323,82.24534499,10.95819868,2186.9
000001.SH,20160824,3085.88,15.39,3.416203043,86.97524704,7.880591199,2175.44
000001.SH,20160825,3068.329,15.32,2.740960246,78.25702734,7.951429134,2172.47
000001.SH,20160826,3070.309,15.47,2.717375068,76.5055809,7.671067855,2169.04
000001.SH,20160829,3070.027,15.57,2.625084225,80.41905519,7.157741475,2180.38
000001.SH,20160830,3074.677,15.68,2.702709474,81.03200638,7.023615019,2176.12
000001.SH,20160831,3085.491,15.74,2.977135349,75.2604218,6.990602837,2170.95
000001.SH,20160901,3063.305,15.65,2.164365998,90.16903171,7.53816722,2170.86
000001.SH,20160902,3067.352,15.68,2.219681545,92.07694232,7.497686909,2179.98
000001.SH,20160905,3072.095,15.71,2.242007702,99.86584301,6.974303097,2179.98
000001.SH,20160906,3090.713,15.79,2.720029816,116.067722,6.838016251,2186.48
000001.SH,20160907,3091.928,15.81,2.644015267,116.5211016,6.783003576,2186.16
000001.SH,20160908,3095.954,15.83,2.6509357,117.2402447,6.578826976,2181.3
000001.SH,20160909,3078.855,15.75,1.97481087,118.2583187,5.243087402,2127.81
000001.SH,20160912,3021.977,15.46,0.017429819,87.55766354,1.994538192,2159.04
000001.SH,20160913,3023.51,15.47,-0.011780724,83.56727165,1.731795387,2127.02
000001.SH,20160914,3002.849,15.36,-0.748272153,72.96545398,1.740888357,2125.77
000001.SH,20160919,3026.051,15.49,-0.055214215,78.72731444,2.089182096,2139.12
000001.SH,20160920,3023,15.47,-0.248623898,75.90951987,2.052118988,2139.76
000001.SH,20160921,3025.874,15.49,-0.225216495,66.23222862,1.694738786,2163.12
000001.SH,20160922,3042.313,15.58,0.245356736,53.03366306,1.660797965,2177.18
000001.SH,20160923,3033.896,15.55,-0.088119657,52.14557142,1.725342202,2164.69
000001.SH,20160926,2980.43,15.28,-1.876227334,45.74869804,3.422665618,2146.1
000001.SH,20160927,2998.172,15.38,-1.327682515,46.69475717,3.909485062,2159.93
000001.SH,20160928,2987.858,15.33,-1.666722405,45.92938381,4.010611478,2171.37
000001.SH,20160929,2998.483,15.39,-1.312762184,53.56239633,4.04108262,2151.13
000001.SH,20160930,3004.703,15.43,-1.101217604,52.9239181,4.005353031,2168.27
000001.SH,20161010,3048.143,15.65,0.31137355,65.73201292,4.291623461,2163.66
000001.SH,20161011,3065.25,15.78,0.831677262,84.29250758,4.352288509,2136.73
000001.SH,20161012,3058.498,15.75,0.574510964,74.03034196,4.352243394,2139.18
000001.SH,20161013,3061.346,15.75,0.661562611,75.88547644,4.092798022,2132.55
000001.SH,20161014,3063.809,15.78,0.740827173,69.9528533,4.122886175,2132.98
000001.SH,20161017,3041.166,15.66,0.00334806,64.07128517,4.508110345,2126.5
000001.SH,20161018,3083.875,15.88,1.39132132,79.29765562,5.854108374,2139.6
000001.SH,20161019,3084.719,15.88,1.396203903,81.58202612,5.612108428,2144.29
000001.SH,20161020,3084.458,15.89,1.361048156,76.19580338,5.605449022,2141.34
000001.SH,20161021,3090.941,15.93,1.539032834,75.25107477,5.562718653,2141.16
000001.SH,20161024,3128.247,16.13,2.714369711,85.14276164,6.088918726,2151.33
000001.SH,20161025,3131.939,16.14,2.768600761,85.17532312,6.028609923,2143.16
000001.SH,20161026,3116.312,16.02,2.199668616,81.86543058,6.266272807,2139.43
000001.SH,20161027,3112.35,16,2.03505405,113.834212,6.279905598,2133.04
000001.SH,20161028,3104.27,15.78,1.70776756,117.8520264,6.208134372,2126.41
000001.SH,20161031,3100.492,15.56,1.525126579,121.3467845,4.020126857,2126.15
000001.SH,20161101,3122.436,15.67,2.163894728,118.1099086,3.932340509,2111.72
000001.SH,20161102,3102.733,15.56,1.436613824,111.1532821,3.922759437,2097.94
000001.SH,20161103,3128.936,15.83,2.205461384,119.8635222,4.37080186,2088.66
000001.SH,20161104,3125.317,15.91,2.005694735,107.3852574,4.417405232,2085.18
000001.SH,20161107,3133.333,15.76,2.183442998,110.8974902,4.082250018,2131.52
000001.SH,20161108,3147.888,15.81,2.562674551,146.9402768,4.039490446,2139.56
000001.SH,20161109,3128.37,15.7,1.858112769,120.4932674,4.411417914,2163.26
000001.SH,20161110,3171.282,15.91,3.173786129,152.5490577,4.614714779,2167.48
000001.SH,20161111,3196.044,16.05,3.879521695,151.0425818,4.892430627,2164.45
000001.SH,20161114,3210.371,16.12,4.227896974,154.3446157,4.288835819,2164.2
000001.SH,20161115,3206.986,16.1,4.030006619,127.7438921,3.258052478,2180.39
000001.SH,20161116,3205.057,16.09,3.922562196,118.398243,3.287567457,2176.94
000001.SH,20161117,3208.453,16.13,3.977375713,121.3067122,3.254386493,2187.12
000001.SH,20161118,3192.856,16.03,3.4253848,114.8530339,3.551051427,2181.9
000001.SH,20161121,3218.148,16.17,4.180523919,130.6847591,3.263780859,2198.18
000001.SH,20161122,3248.352,16.32,5.07879789,155.7785407,3.5556561,2202.94
000001.SH,20161123,3241.137,16.3,4.757110414,138.9678727,3.385904861,2204.72
000001.SH,20161124,3241.736,16.31,4.690732938,139.9138639,3.352784529,2204.72
000001.SH,20161125,3261.938,16.43,5.243418506,134.3752084,3.283304714,2213.35
000001.SH,20161128,3277,16.51,5.610874472,147.0059941,3.265467888,2201.72
000001.SH,20161129,3282.924,16.55,5.681102386,133.4571668,3.172179821,2204.66
000001.SH,20161130,3250.034,16.34,4.521391585,116.5098019,3.467967964,2198.81
000001.SH,20161201,3273.309,16.45,5.157959137,136.8044606,3.076046169,2191.08
000001.SH,20161202,3243.843,16.35,4.12305527,130.2080806,3.760515725,2191.95
000001.SH,20161205,3204.709,16.17,2.789147859,106.2847761,3.772728003,2204.71
000001.SH,20161206,3199.647,16.14,2.554259392,114.1919104,3.813657627,2212.23
000001.SH,20161207,3222.242,16.25,3.195697415,112.2853372,3.613553956,2241.35
000001.SH,20161208,3215.366,16.22,2.907016331,118.6509208,3.616962099,2246.19
000001.SH,20161209,3232.883,16.34,3.38990775,116.2876432,3.526315933,2259.53
000001.SH,20161212,3152.97,15.98,0.803598502,96.29425849,8.069694042,2256.96
000001.SH,20161213,3155.037,15.97,0.828752559,89.82539355,8.223997858,2271.72
000001.SH,20161214,3140.531,15.91,0.301832985,84.18480171,8.280387119,2253.28
000001.SH,20161215,3117.677,15.76,-0.477960115,86.06392013,8.274218971,2262.03
