ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
399001.SZ,20160401,10379.647,31.09,3.523086922,128.6351636,27.32002662,2072.78
399001.SZ,20160405,10640.268,31.83,6.296612634,141.1821561,29.83071518,2045.17
399001.SZ,20160406,10683.857,31.95,6.871610605,176.9652521,29.87369671,2066.66
399001.SZ,20160407,10504.882,31.43,5.29547377,160.3255677,34.0000397,2041.91
399001.SZ,20160408,10413.54,31.22,4.440405672,127.8111357,31.75400077,2047.6
399001.SZ,20160411,10609.595,31.76,6.456400905,136.9541867,31.79944401,2041.99
399001.SZ,20160412,10533.405,32.01,5.635215118,144.1136622,30.59669319,2061.72
399001.SZ,20160413,10684.921,32.44,7.084685297,143.7168728,29.99492426,2082.42
399001.SZ,20160414,10771.614,32.76,7.810759214,169.8012463,26.80123728,2082.78
399001.SZ,20160415,10733.635,33.22,7.36102371,190.1632686,23.09704641,2080.73
399001.SZ,20160418,10568.93,33,5.613062683,174.190559,19.26471823,2094.34
399001.SZ,20160419,10602.464,32.98,5.869432765,185.9049516,18.27382132,2100.8
399001.SZ,20160420,10164.744,31.59,1.555604452,120.1144714,32.0943834,2102.4
399001.SZ,20160421,10058.801,31.3,0.548708024,123.3885217,30.82561254,2091.48
399001.SZ,20160422,10151.764,31.38,1.448263759,127.329192,32.85624403,2091.58
399001.SZ,20160425,10106.787,31.2,0.999605209,103.2729402,32.19014633,2087.79
399001.SZ,20160426,10209.901,31.43,2.027097051,90.3043842,32.51990988,2091.7
399001.SZ,20160427,10174.159,31.04,1.553121455,78.33303709,30.9043757,2095.15
399001.SZ,20160428,10149.909,30.84,1.188610289,76.58295916,26.23353683,2075.81
399001.SZ,20160429,10141.541,30.85,0.927601837,75.25681714,26.32768539,2065.3
399001.SZ,20160503,10441.92,31.89,3.740793135,89.04308444,32.32618419,2063.37
399001.SZ,20160504,10422.802,31.82,3.362452316,88.16341,28.44892815,2051.12
399001.SZ,20160505,10474.013,31.97,3.722346865,85.8894621,28.36863204,2050.63
399001.SZ,20160506,10100.535,30.99,-0.052297422,83.09707259,34.45983697,2057.14
399001.SZ,20160509,9790.477,30.07,-3.119996483,58.4057881,37.52614233,2058.69
399001.SZ,20160510,9793.214,30.07,-3.112045546,55.98656121,36.72420418,2084.39
399001.SZ,20160511,9781.15,30.07,-3.249315463,63.25329646,36.74794533,2064.46
399001.SZ,20160512,9796.581,30.11,-3.056918186,51.18766957,37.81161411,2064.11
399001.SZ,20160513,9759.267,30,-3.362011215,51.78453388,37.61454859,2046.61
399001.SZ,20160516,9910.082,30.45,-1.835189971,56.36224398,40.60876964,2066.66
399001.SZ,20160517,9908.791,30.44,-1.806879394,63.7055981,40.21793385,2047.21
399001.SZ,20160518,9694.776,29.79,-3.820286151,46.83334642,41.34907687,2047.63
399001.SZ,20160519,9733.736,29.89,-3.34332546,53.30166756,27.91778573,2040.04
399001.SZ,20160520,9816.752,30.15,-2.439712627,45.19951279,29.20685528,2052.32
399001.SZ,20160523,9918.164,30.45,-1.491761498,46.91484538,28.10165218,2048.04
399001.SZ,20160524,9821.698,30.15,-2.48990142,45.29941783,28.66192529,2076.06
399001.SZ,20160525,9784.598,30.05,-2.968570549,52.720963,28.59397877,2090.54
399001.SZ,20160526,9826.144,30.16,-2.637695848,49.48178625,28.69372048,2090.1
399001.SZ,20160527,9813.631,30.14,-2.769270118,58.76414384,28.62892046,2099.06
399001.SZ,20160530,9768.84,30.01,-3.214137843,56.96834876,28.59069534,2099.06
399001.SZ,20160531,10159.934,31.2,0.55718428,69.29076771,32.49924891,2096.96
399001.SZ,20160601,10209.142,31.33,0.960061717,79.11052087,32.5069577,2099.33
399001.SZ,20160602,10274.025,31.51,1.511136745,77.75380541,32.61616029,2105.26
399001.SZ,20160603,10344.908,31.73,2.073358916,81.37806741,22.48357674,2099.13
399001.SZ,20160606,10363.085,31.86,2.089402285,87.06623994,17.71437555,2109.41
399001.SZ,20160607,10347.841,31.82,1.774729024,85.01745887,17.93026269,2112.13
399001.SZ,20160608,10316.823,31.69,1.361374305,71.93395076,17.2932032,2119.12
399001.SZ,20160613,9862.584,30.32,-3.147199822,58.51997676,25.52244133,2079.06
399001.SZ,20160614,9895.15,30.42,-2.895118765,58.46055009,25.59062078,2075.32
399001.SZ,20160615,10173.846,31.24,-0.222507471,74.39165085,32.759668,2071.5
399001.SZ,20160616,10115.122,31.03,-0.796569259,86.63222588,32.9882736,2077.99
399001.SZ,20160617,10182.526,31.25,-0.100953456,92.4898042,30.70614411,2071.22
399001.SZ,20160620,10221.852,31.36,0.304914543,89.26808192,30.69974999,2083.25
399001.SZ,20160621,10131.856,31.09,-0.527680078,98.14993973,31.84708084,2088.9
399001.SZ,20160622,10297.977,31.59,1.100893802,104.1806639,33.4030105,2085.45
399001.SZ,20160623,10255.268,31.47,0.695504807,96.42210506,32.77596712,2113.32
399001.SZ,20160624,10147.704,31.13,-0.339594781,84.74347531,32.50440276,2037.41
399001.SZ,20160627,10377.573,31.81,1.870778531,106.5833711,36.57604918,2000.54
399001.SZ,20160628,10463.448,32.09,2.710781023,101.8675857,36.96539432,2036.09
399001.SZ,20160629,10460.967,32.07,2.685486712,104.313266,37.39015961,2070.77
399001.SZ,20160630,10489.993,32.18,2.951822088,99.26198198,29.49686665,2098.86
399001.SZ,20160701,10458.432,32.82,2.672611419,106.9656364,29.87409418,2102.95
399001.SZ,20160704,10609.859,33.3,4.171814575,108.3016266,32.4808679,2102.95
399001.SZ,20160705,10602.772,33.27,4.085558421,112.7718869,32.44987362,2088.55
