,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
0,000016.SH,20160104,2270.4609,2417.0246,2417.0246,2269.9671,34620851.0,37753719.87,0.22,0.95,9.83,9.85,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,851.96,-0.0117,2012.66,-1.53,10101.04,-5.7,63.0,383.0,2016-01-04
1,000016.SH,20160105,2288.1127,2230.08,2309.5937,2223.0521,48075962.0,51045135.704,0.3,1.31,9.87,9.89,1.3,,,,,,,373768.7207172802,,,,,,,,,,,,,,,,,,,,0.007744478766343857,1.0,857.46,0.0065,2016.71,0.2,10178.16,0.76,1621.0,339.0,2016-01-05
2,000016.SH,20160106,2317.6465,2284.9228,2321.1692,2274.4683,38088820.0,39894992.59,0.24,1.04,10.03,10.04,1.32,,,,,,,491631.1998600369,,,,,,,,,,,,,,,,,,,,0.012824901833418879,-1.0,849.22,-0.0096,1990.26,-1.31,10297.45,1.17,-497.0,1440.0,2016-01-06
3,000016.SH,20160107,2180.5889,2281.881,2281.9337,2171.3153,11081575.0,11474807.593,0.07,0.3,9.49,9.5,1.25,,,,,,,-655326.0273816546,,,,,,,,,,,,,,,,,,,,-0.06095725319581068,1.0,849.41,0.0002,1943.09,-2.37,9750.36,-5.31,27.0,946.0,2016-01-07
4,000016.SH,20160108,2219.6119,2225.4754,2257.41,2154.5816,51525931.0,53797581.98,0.32,1.39,9.66,9.68,1.27,-1.5817199586794524,,,,,,922088.7098035688,,,,,,,,,0.998,,,,,,,,,,,0.01773738284652137,-1.0,847.98,-0.0017,1922.03,-1.08,9906.67,1.6,295.0,1645.0,2016-01-08
5,000016.SH,20160111,2120.2342,2182.846,2202.3226,2119.7024,48483505.0,48888155.75,0.3,1.31,9.27,9.28,1.22,-4.718803128566645,,,,,,-2170730.484387158,,,40475732.247833334,,-25404378.564056985,,,,1.0699999999999998,,,,,,,,,,,-0.04580580650111677,-1.0,838.24,-0.0115,1923.67,0.09,9505.45,-4.05,-456.0,1472.0,2016-01-11
6,000016.SH,20160112,2131.3679,2135.9386,2151.3985,2115.3645,35144374.0,36195368.774,0.22,0.95,9.31,9.33,1.22,-2.8498230731617205,,,,,,184548.91294735795,,,40216007.06516667,,4642363.913265257,,,,0.998,,,,,,,,,,,0.0052374258872230186,-1.0,829.26,-0.0107,1938.68,0.78,9566.0,0.64,-636.0,1185.0,2016-01-12
7,000016.SH,20160113,2105.5066,2152.7166,2157.5078,2104.9307,32024944.0,32986276.068000004,0.2,0.87,9.18,9.2,1.2,-2.1360034309694087,,,,,,-388579.88068000873,,,37206197.12583333,,-56352030.959190786,,,,0.9640000000000001,,,,,,,,,,,-0.01220787690542381,1.0,831.26,0.0024,1890.28,-2.5,9465.21,-1.05,200.0,1177.0,2016-01-13
8,000016.SH,20160114,2132.0757,2056.4075,2136.0634,2052.2960000000003,36630965.0,35415650.797,0.23,0.99,9.27,9.29,1.22,-0.45213111393296357,,,,,,462241.14053192193,,,36459640.160333335,,-49951941.521465406,,,,1.102,,,,,,,,,,,0.012539908977574381,-1.0,836.13,0.0059,1921.84,1.67,9573.67,1.15,-23.0,1263.0,2016-01-14
9,000016.SH,20160115,2070.9283,2119.5624,2128.9478,2058.6966,34641623.0,33603671.196,0.22,0.94,8.99,9.0,1.18,-1.9457292344995687,-5.162223183628365,,,,,-993513.1188025802,,,40147784.094166666,,-63786658.664470464,,,,1.012,,,,,,,,,,,-0.02909905138179088,1.0,835.54,-0.0007,1880.33,-2.16,9314.24,-2.71,-105.0,912.0,2016-01-15
10,000016.SH,20160118,2069.2746,2040.4064,2092.4024,2039.0509,26806095.0,25299829.922,0.17,0.72,8.96,8.98,1.17,-1.5489364219082287,-4.356765282894242,,,,,-21405.492069182612,,,35398158.751166664,,-46343908.56402687,,,,0.8939999999999999,,,,,,,,,,,-0.0007988497800162465,1.0,850.76,0.0182,1880.33,-2.16,9302.18,-0.13,383.0,1093.0,2016-01-18
11,000016.SH,20160119,2128.5743,2075.1864,2135.3621,2060.2812,37222168.0,37594149.943,0.23,1.01,9.21,9.22,1.21,1.2993273264635812,-0.8850232411967476,,,,,1066684.6225965375,,,33515824.45,,16865818.528311074,,,,0.9059999999999999,,,,,,,,,,,0.028254301810426954,-1.0,858.15,0.0087,1881.33,0.05,9545.43,2.61,600.0,988.0,2016-01-19
12,000016.SH,20160120,2088.7229,2115.126,2124.1513,2076.1648,39221145.0,39259455.272,0.24,1.06,9.08,9.1,1.19,-0.4381616652219533,-1.6927483483896881,,,,-8.004454073620023,-734302.5507040089,,13.28763986766241,34026505.533,,-256557.4961978346,,,,0.944,,,,,,,,,,,-0.018899586312085062,-1.0,850.83,-0.0085,1859.33,-1.17,9384.26,-1.69,-593.0,1209.0,2016-01-20
13,000016.SH,20160121,2040.9775,2069.3857,2112.7342,2040.5269,34354515.0,32473758.418,0.21,0.93,8.89,8.9,1.16,-1.861715795781502,-3.3045428002902852,,,,-10.800831619876075,-785298.0692082269,,-28.54118030961086,33941085.924666665,,14983316.650237786,,,,0.932,,,,,,,,,,,-0.02312396681729036,1.0,848.37,-0.0029,1868.99,0.52,9174.4,-2.24,-162.0,1577.0,2016-01-21
14,000016.SH,20160122,2061.9621,2062.6257,2074.1656,2026.2701,27065196.0,25575155.487,0.17,0.73,8.99,9.0,1.18,-0.7671284715082752,-1.5752220585189352,,,,-11.032070680321596,278274.65613001917,,-28.941888984746704,32301003.372999996,,-18480911.097245704,,,,0.89,,,,,,,,,,,0.010229145453361451,-1.0,856.74,0.0099,1906.9,2.03,9254.13,0.87,619.0,661.0,2016-01-22
15,000016.SH,20160125,2065.4437,2067.5631,2074.8954,2049.2538,21741074.0,19964754.994000003,0.14,0.59,9.01,9.02,1.18,-0.5629096716387486,-1.1505073675245907,,,,-5.280463456454372,36709.560878151766,,96.19119123409804,30027850.67266667,,3704084.1724028303,,,,0.8640000000000001,,,,,,,,,,,0.0016870649480472703,-1.0,854.85,-0.0022,1877.08,-1.56,9263.61,0.1,250.0,485.0,2016-01-25
16,000016.SH,20160126,1951.6136,2046.0403,2050.4457,1944.9061,37751437.0,34523878.745,0.24,1.02,8.51,8.53,1.11,-4.414381125437486,-5.787780402076486,,,,-12.07410628858135,-2080545.6226445178,,-26.733129771104963,31565192.143166672,,-44576905.65700667,,,,0.866,,,,,,,,,,,-0.05668855258413322,-1.0,857.75,0.0034,1903.63,1.41,8796.0,-5.05,-235.0,897.0,2016-01-26
17,000016.SH,20160127,1953.4647,1961.3986,1972.1635,1908.0377,39302664.0,34956352.584,0.25,1.06,8.53,8.54,1.12,-3.0390556112310048,-5.001159993999712,,,,-7.865616920998628,37278.466050043644,,-18.936009267481797,31125559.25,,-75907216.85478963,,,,0.866,,,,,,,,,,,0.0009480476428073423,-1.0,867.8,0.0117,1882.95,-1.09,8793.39,-0.03,4485.0,894.0,2016-01-27
18,000016.SH,20160128,1912.7205,1943.8257,1960.9462,1900.3515,29716553.0,26312112.328,0.19,0.8,8.39,8.4,1.1,-3.8370462483999583,-5.97963135700185,,,,-10.2585480432543,-619810.1141743707,,-15.444352487257277,28967668.75933333,,-69581442.93260166,,,,0.8400000000000001,,,,,,,,,,,-0.021077991028841565,1.0,859.03,-0.0101,1893.36,0.55,8643.35,-1.71,-342.0,711.0,2016-01-28
19,000016.SH,20160129,1973.0052,1915.1266,1986.7205,1914.3957,38242877.0,33961257.172,0.24,1.03,8.61,8.61,1.12,0.08906330550114089,-2.547235188627735,-6.231097527630658,,,-6.29308879867677,1205330.5054669024,,19.415905926330428,29215585.218333334,,-25461276.166099343,9213158.937795274,,,0.9,0.24967347096810893,,74228831682.95564,95.9209462696174,-0.30407364899695,-0.37720125233267243,1.1055383342829466,,,,0.031031288426994902,-1.0,857.56,-0.0017,1940.24,2.48,8887.48,2.82,1694.0,750.0,2016-01-29
20,000016.SH,20160201,1937.0729,1970.2135,1973.0998,1917.2396,27335160.0,23805513.257,0.17,0.74,8.43,8.49,1.1,-0.4370162208775421,-3.6931726458294394,-7.2036541356257535,,35.285129601341524,-9.146148047182377,-497826.9543678874,,-25.376904485044278,28920644.846666668,,-41303618.92306606,9375177.121814877,,,0.93,0.25405086519290415,,72841870729.19722,74.15590236175085,-0.005592260429579828,-0.5645501403013395,-0.7236725701696968,,,,-0.018379843381835712,1.0,859.25,0.002,1939.38,-0.04,8734.08,-1.73,-192.0,537.0,2016-02-01
21,000016.SH,20160202,1969.6161,1935.2156,1978.2855,1934.907,26156540.0,23459043.407,0.16,0.71,8.55,8.6,1.12,1.048659600692368,-1.295130999173366,-4.919300082878027,,42.68755289496017,-4.892115289553969,439434.9394532348,,-24.4938956815043,29503026.248833332,,-18763665.971881874,9005954.390213687,,,0.868,0.2431909581075397,,69964881379.20822,71.16441502758195,-0.027280465077659653,-0.46507274010502714,0.7576271149135959,,,,0.01666063142771748,-1.0,861.98,0.0032,1903.03,-1.87,8859.86,1.44,96.0,1235.0,2016-02-02
22,000016.SH,20160203,1952.3665,1947.8333,1955.0889,1929.8145,21970080.0,19391561.403,0.14,0.59,8.46,8.51,1.1,0.17497878762019345,-1.4863971693797169,-4.913653489857249,,36.05533838853911,-5.649714155868926,-192410.63878793296,,-18.040729169989138,26980973.3585,,18953234.209592562,9302002.490120377,,,0.774,0.25116779880767903,,67724413079.6272,68.90404540221198,0.025309788307491976,-0.2983679956611519,0.0973971759961526,,,,-0.008796424148759169,1.0,863.57,0.0018,1912.53,0.5,8779.94,-0.9,-2058.0,1585.0,2016-02-03
23,000016.SH,20160204,1974.2364,1962.8658,1983.252,1960.1297,25020305.0,22994238.074,0.16,0.68,8.54,8.59,1.12,0.6616656556326517,-0.046263317791179044,-3.3629191766578512,,45.95535323321744,-7.250764044271333,280270.9267545299,,-32.781172230483726,24987287.606833335,,36119877.829189464,8021529.551529403,,,0.75,0.2163914581444811,,68950820654.07915,57.76531441776662,0.03989389106842853,-0.03764030886928621,0.2721311655156604,,,,0.011139464165455597,-1.0,875.04,0.0133,1915.45,0.15,8872.83,1.06,519.0,0.0,2016-02-04
