,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
0,399001.SZ,20160104,11626.038,12650.719,12659.408,11625.409,204855281.59,355284238.8849,1.85,2.98,40.91,35.34,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,851.96,-0.0117,2012.66,-1.53,10101.04,-5.7,63.0,383.0,2016-01-04
1,399001.SZ,20160105,11468.06,11116.9,11687.48,11063.642,294290847.98,483124051.0613,2.66,4.27,40.43,34.92,3.65,,,,,,,-3998909.9968695035,,,,,,,,,,,,,,,,,,,,-0.013681457852647117,1.0,857.46,0.0065,2016.71,0.2,10178.16,0.76,1621.0,339.0,2016-01-05
2,399001.SZ,20160106,11724.88,11520.772,11730.48,11413.984,253497236.88,414256857.1978,2.35,3.77,41.37,35.71,3.73,,,,,,,5676911.384795818,,,,,,,,,,,,,,,,,,,,0.022147299781181913,-1.0,849.22,-0.0096,1990.26,-1.31,10297.45,1.17,-497.0,1440.0,2016-01-06
3,399001.SZ,20160107,10760.273,11504.9,11504.9,10745.47,71661949.68,107974925.8554,0.66,1.07,37.97,32.78,3.43,,,,,,,-5895635.460232921,,,,,,,,,,,,,,,,,,,,-0.08585215357939907,1.0,849.41,0.0002,1943.09,-2.37,9750.36,-5.31,27.0,946.0,2016-01-07
4,399001.SZ,20160108,10888.908,11008.893999999998,11121.777,10376.29,285149359.14,437422182.9208,2.61,4.19,38.61,33.32,3.47,-3.58364613941106,,,,,,3408852.899268816,,,,,,,,,3.2560000000000002,,,,,,,,,,,0.011883730275860172,-1.0,847.98,-0.0017,1922.03,-1.08,9906.67,1.6,295.0,1645.0,2016-01-08
5,399001.SZ,20160111,10212.459,10656.87,10809.568,10212.459,261299240.71,377830451.7561,2.48,3.98,36.28,31.32,3.26,-7.251503871249225,,,,,,-16232629.578561824,,,362648784.6127167,,-184509306.10558897,,,,3.4560000000000004,,,,,,,,,,,-0.06413621094467317,-1.0,838.24,-0.0115,1923.67,0.09,9505.45,-4.05,-456.0,1472.0,2016-01-11
6,399001.SZ,20160112,10293.704,10243.569,10414.936,10065.09,217637344.08,326613592.4443,1.99,3.19,36.59,31.24,3.27,-4.476046721706279,,,,,,1731409.2541061244,,,357870343.5392833,,49688616.756925225,,,,3.2399999999999998,,,,,,,,,,,0.007924000712622592,-1.0,829.26,-0.0107,1938.68,0.78,9566.0,0.64,-636.0,1185.0,2016-01-12
7,399001.SZ,20160113,9978.821,10347.084,10435.239,9978.821,208940529.32,310559465.5139,1.9,3.04,35.5,30.32,3.18,-4.296721737079695,,,,,,-6391462.26604821,,,329109579.28138334,,-284553095.7744945,,,,3.0940000000000003,,,,,,,,,,,-0.03106749913061407,1.0,831.26,0.0024,1890.28,-2.5,9465.21,-1.05,200.0,1177.0,2016-01-13
8,399001.SZ,20160114,10344.942,9678.216,10357.952,9668.896,228512680.73,334237799.703,2.07,3.33,36.83,31.45,3.28,0.01136143169814944,,,,,,8384085.773414329,,,315773069.6989167,,-226925898.1168232,,,,3.5460000000000003,,,,,,,,,,,0.03603275753637714,-1.0,836.13,0.0059,1921.84,1.67,9573.67,1.15,-23.0,1263.0,2016-01-14
9,399001.SZ,20160115,9997.925,10268.947,10363.822,9940.889,221160169.17,331743890.9424,2.0,3.21,35.61,30.41,3.17,-1.649147039484308,-6.819228413060277,,,,,-7418730.663242564,,,353067897.21341664,,-298383654.0853799,,,,3.35,,,,,,,,,,,-0.03412013314562355,1.0,835.54,-0.0007,1880.33,-2.16,9314.24,-2.71,-105.0,912.0,2016-01-15
