,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
0,000001.SH,20160104,3296.258,3536.5890000000004,3538.6890000000008,3295.741,184418423.0,240929155.215,0.67,1.95,15.5,15.39,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,851.96,-0.0117,2012.66,-1.53,10101.04,-5.7,63.0,383.0,2016-01-04
1,000001.SH,20160105,3287.711,3196.651,3328.139,3189.605,266882083.0,328417226.081,0.97,2.82,15.47,15.34,1.76,,,,,,,-692009.2915666816,,,,,,,,,,,,,,,,,,,,-0.002596307729013998,1.0,857.46,0.0065,2016.71,0.2,10178.16,0.76,1621.0,339.0,2016-01-05
2,000001.SH,20160106,3361.84,3291.195,3362.974,3288.933,238886670.0,285243223.391,0.87,2.53,15.82,15.69,1.8,,,,,,,5386248.961794418,,,,,,,,,,,,,,,,,,,,0.02229686518036061,-1.0,849.22,-0.0096,1990.26,-1.31,10297.45,1.17,-497.0,1440.0,2016-01-06
3,000001.SH,20160107,3125.002,3309.657,3309.657,3115.885,70569123.0,79981988.654,0.26,0.74,14.76,14.65,1.68,,,,,,,-4971518.559203892,,,,,,,,,,,,,,,,,,,,-0.07305351994598001,1.0,849.41,0.0002,1943.09,-2.37,9750.36,-5.31,27.0,946.0,2016-01-07
4,000001.SH,20160108,3186.4120000000007,3194.625,3235.451,3056.878,286440822.0,324167135.447,1.04,3.02,15.05,14.93,1.72,-2.0001140416170426,,,,,,5628902.278789012,,,,,,,,,2.2119999999999997,,,,,,,,,,,0.019460595695569783,-1.0,847.98,-0.0017,1922.03,-1.08,9906.67,1.6,295.0,1645.0,2016-01-08
5,000001.SH,20160111,3016.704,3131.853,3166.215,3016.697,271643691.0,286379628.143,0.99,2.86,14.28,14.17,1.63,-5.596241854803726,,,,,,-14467717.141483316,,,257519726.15516672,,-68702604.13827494,,,,2.3939999999999997,,,,,,,,,,,-0.054730674225975134,-1.0,838.24,-0.0115,1923.67,0.09,9505.45,-4.05,-456.0,1472.0,2016-01-11
6,000001.SH,20160112,3022.861,3026.159,3047.664,2978.463,207659622.0,224135432.095,0.76,2.19,14.31,14.2,1.63,-3.8090809803129546,,,,,,423826.89606071304,,,254720772.3018334,,103832592.32034433,,,,2.268,,,,,,,,,,,0.0020388892686551553,-1.0,829.26,-0.0107,1938.68,0.78,9566.0,0.64,-636.0,1185.0,2016-01-12
7,000001.SH,20160113,2949.597,3041.107,3059.015,2949.29,194282106.0,208376044.623,0.71,2.05,13.97,13.86,1.59,-3.6115699173678157,,,,,,-4708745.858305736,,,234713908.72550002,,-233622212.15694776,,,,2.1719999999999997,,,,,,,,,,,-0.024535183076191826,1.0,831.26,0.0024,1890.28,-2.5,9465.21,-1.05,200.0,1177.0,2016-01-13
8,000001.SH,20160114,3007.649000000001,2874.0490000000004,3012.293,2867.553,212905644.0,218013656.655,0.77,2.24,14.22,14.11,1.62,-0.9548565545009691,,,,,,4190266.8213617397,,,223508980.93616667,,-265032756.87777522,,,,2.4719999999999995,,,,,,,,,,,0.019490159598917284,-1.0,836.13,0.0059,1921.84,1.67,9573.67,1.15,-23.0,1263.0,2016-01-14
9,000001.SH,20160115,2900.9698,2988.0483,3001.7081,2883.8679,198721697.0,206603969.247,0.72,2.09,13.73,13.61,1.56,-2.6375190055152453,-6.885910891784277,,,,,-7048519.178468825,,,244612644.36833334,,-344630135.64702344,,,,2.2859999999999996,,,,,,,,,,,-0.03611361556743304,1.0,835.54,-0.0007,1880.33,-2.16,9314.24,-2.71,-105.0,912.0,2016-01-15
10,000001.SH,20160118,2913.8367,2847.5389,2945.4496,2844.7042,164699694.0,173619962.653,0.6,1.73,13.78,13.66,1.57,-1.5257270682927677,-5.310621882320096,,,,,730505.5339523348,,,219521448.90266666,,-223071659.5553562,,,,2.0599999999999996,,,,,,,,,,,0.004425571513197809,1.0,850.76,0.0182,1880.33,-2.16,9302.18,-0.13,383.0,1093.0,2016-01-18
11,000001.SH,20160119,3007.7393,2914.4078,3012.0684,2906.4038,205279703.0,222674800.351,0.75,2.16,14.21,14.09,1.62,1.7517479508744014,-1.3616997334974177,,,,,6615435.188570406,,,208903977.604,,167450168.94558102,,,,2.054,,,,,,,,,,,0.03171806705375014,-1.0,858.15,0.0087,1881.33,0.05,9545.43,2.61,600.0,988.0,2016-01-19
