,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
0,000001.SH,20160104,3296.258,3536.589,3538.689,3295.741,184418423,240929155.2,0.67,1.95,15.5,15.39,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,1,851.96,-0.0117,2012.66,-1.53,10101.04,-5.7,63,383,2016/1/4
1,000001.SH,20160105,3287.711,3196.651,3328.139,3189.605,266882083,328417226.1,0.97,2.82,15.47,15.34,1.76,,,,,,,-692009.2916,,,,,,,,,,,,,,,,,,,,1,857.46,0.0065,2016.71,0.2,10178.16,0.76,1621,339,2016/1/5
2,000001.SH,20160106,3361.84,3291.195,3362.974,3288.933,238886670,285243223.4,0.87,2.53,15.82,15.69,1.8,,,,,,,5386248.962,,,,,,,,,,,,,,,,,,,,-1,849.22,-0.0096,1990.26,-1.31,10297.45,1.17,-497,1440,2016/1/6
3,000001.SH,20160107,3125.002,3309.657,3309.657,3115.885,70569123,79981988.65,0.26,0.74,14.76,14.65,1.68,,,,,,,-4971518.559,,,,,,,,,,,,,,,,,,,,1,849.41,0.0002,1943.09,-2.37,9750.36,-5.31,27,946,2016/1/7
4,000001.SH,20160108,3186.412,3194.625,3235.451,3056.878,286440822,324167135.4,1.04,3.02,15.05,14.93,1.72,-2.000114042,,,,,,5628902.279,,,,,,,,,2.212,,,,,,,,,,,-1,847.98,-0.0017,1922.03,-1.08,9906.67,1.6,295,1645,2016/1/8
5,000001.SH,20160111,3016.704,3131.853,3166.215,3016.697,271643691,286379628.1,0.99,2.86,14.28,14.17,1.63,-5.596241855,,,,,,-14467717.14,,,257519726.2,,-68702604.14,,,,2.394,,,,,,,,,,,-1,838.24,-0.0115,1923.67,0.09,9505.45,-4.05,-456,1472,2016/1/11
6,000001.SH,20160112,3022.861,3026.159,3047.664,2978.463,207659622,224135432.1,0.76,2.19,14.31,14.2,1.63,-3.80908098,,,,,,423826.8961,,,254720772.3,,103832592.3,,,,2.268,,,,,,,,,,,-1,829.26,-0.0107,1938.68,0.78,9566,0.64,-636,1185,2016/1/12
7,000001.SH,20160113,2949.597,3041.107,3059.015,2949.29,194282106,208376044.6,0.71,2.05,13.97,13.86,1.59,-3.611569917,,,,,,-4708745.858,,,234713908.7,,-233622212.2,,,,2.172,,,,,,,,,,,1,831.26,0.0024,1890.28,-2.5,9465.21,-1.05,200,1177,2016/1/13
8,000001.SH,20160114,3007.649,2874.049,3012.293,2867.553,212905644,218013656.7,0.77,2.24,14.22,14.11,1.62,-0.954856555,,,,,,4190266.821,,,223508980.9,,-265032756.9,,,,2.472,,,,,,,,,,,-1,836.13,0.0059,1921.84,1.67,9573.67,1.15,-23,1263,2016/1/14
9,000001.SH,20160115,2900.9698,2988.0483,3001.7081,2883.8679,198721697,206603969.2,0.72,2.09,13.73,13.61,1.56,-2.637519006,-6.885910892,,,,,-7048519.178,,,244612644.4,,-344630135.6,,,,2.286,,,,,,,,,,,1,835.54,-0.0007,1880.33,-2.16,9314.24,-2.71,-105,912,2016/1/15
10,000001.SH,20160118,2913.8367,2847.5389,2945.4496,2844.7042,164699694,173619962.7,0.6,1.73,13.78,13.66,1.57,-1.525727068,-5.310621882,,,,,730505.534,,,219521448.9,,-223071659.6,,,,2.06,,,,,,,,,,,1,850.76,0.0182,1880.33,-2.16,9302.18,-0.13,383,1093,2016/1/18
11,000001.SH,20160119,3007.7393,2914.4078,3012.0684,2906.4038,205279703,222674800.4,0.75,2.16,14.21,14.09,1.62,1.751747951,-1.361699733,,,,,6615435.189,,,208903977.6,,167450168.9,,,,2.054,,,,,,,,,,,-1,858.15,0.0087,1881.33,0.05,9545.43,2.61,600,988,2016/1/19
12,000001.SH,20160120,2976.694,2993.014,3016.283,2951.922,216505474,234562924.6,0.79,2.28,14.07,13.95,1.6,0.517199805,-1.131031132,,,,-9.694750836,-2234727.389,,17.39904858,210641893,,122447637.6,,,,2.1,,,,,,,,,,,-1,850.83,-0.0085,1859.33,-1.17,9384.26,-1.69,-593,1209,2016/1/20
13,000001.SH,20160121,2880.482,2934.391,2998.79,2880.085,191675668,203634572.9,0.7,2.02,13.64,13.53,1.55,-1.889080759,-3.54327012,,,,-12.38639893,-6195295.643,,-28.17964179,209851647.7,,197429672.5,,,,2.056,,,,,,,,,,,1,848.37,-0.0029,1868.99,0.52,9174.4,-2.24,-162,1577,2016/1/21
14,000001.SH,20160122,2916.562,2911.112,2931.359,2851.733,159810734,170062245.4,0.58,1.68,13.81,13.7,1.57,-0.765577381,-1.444508602,,,,-13.24506818,2001738.349,,-33.10186207,201859745.9,,11848680.3,,,,1.974,,,,,,,,,,,-1,856.74,0.0099,1906.9,2.03,9254.13,0.87,619,661,2016/1/22
15,000001.SH,20160125,2938.515,2934.078,2955.783,2911.829,153039057,164023396.5,0.56,1.61,13.91,13.8,1.58,-0.186258929,-0.439628034,,,,-5.967580181,1151926.967,,116.8640483,194762983.7,,174143643.5,,,,1.95,,,,,,,,,,,-1,854.85,-0.0022,1877.08,-1.56,9263.61,0.1,250,485,2016/1/25
16,000001.SH,20160126,2749.785,2907.718,2911.991,2743.839,210836054,212608150.7,0.77,2.21,13.04,12.94,1.48,-4.930930205,-5.963989983,,,,-13.70277918,-13541223.53,,-26.3945507,201261015.1,,-132263774.9,,,,1.96,,,,,,,,,,,-1,857.75,0.0034,1903.63,1.41,8796,-5.05,-235,897,2016/1/26
17,000001.SH,20160127,2735.558,2756.082,2768.772,2638.302,215722046,207426675,0.78,2.26,12.98,12.87,1.47,-3.819110771,-5.760723617,,,,-9.319641569,-1116115.459,,-20.58639565,198719660.8,,-347518216.4,,,,1.956,,,,,,,,,,,-1,867.8,0.0117,1882.95,-1.09,8793.39,-0.03,4485,894,2016/1/27
18,000001.SH,20160128,2655.661,2711.158,2740.536,2647.493,171120280,167357413.4,0.62,1.8,12.62,12.51,1.43,-5.128407016,-7.390177756,,,,-12.14743252,-4997882.337,,-17.59578567,187518742.3,,-394686441.1,,,,1.912,,,,,,,,,,,1,859.03,-0.0101,1893.36,0.55,8643.35,-1.71,-342,711,2016/1/28
19,000001.SH,20160129,2737.6,2652.854,2755.367,2649.791,186673106,180006812.6,0.68,1.96,12.99,12.88,1.47,-0.934485691,-3.985745447,-8.238055904,,,-7.187320844,5759698.859,,-3.916469796,183580782.2,,-157795592.4,47381074.43,,,1.968,0.501093541,,6.01961E+11,140.9170518,-0.279822831,-0.684656666,0.9635063,,,,-1,857.56,-0.0017,1940.24,2.48,8887.48,2.82,1694,750,2016/1/29
20,000001.SH,20160201,2688.854,2730.984,2735.255,2655.623,156383744,152830741.6,0.57,1.64,12.75,12.7,1.44,-0.907966695,-4.945338958,-8.945055649,,33.88474175,-10.59947487,-2784585.763,,-26.54786362,180708864.9,,-251470010.5,48284486.37,,,1.974,0.510999794,,5.91647E+11,112.7100292,-0.120913516,-0.656397422,-0.538277284,,,,1,859.25,0.002,1939.38,-0.04,8734.08,-1.73,-192,537,2016/2/1
21,000001.SH,20160202,2749.57,2687.982,2755.159,2687.982,158078211,158936802.7,0.57,1.66,13.03,12.98,1.48,1.331198977,-1.903655681,-6.032771142,,41.80337519,-5.218937474,3569504.577,,-20.45246524,179861099.3,,-121992357.8,46321690.38,,,1.864,0.489707485,,5.69872E+11,110.3925046,-0.130011358,-0.604858787,0.783174062,,,,1,861.98,0.0032,1903.03,-1.87,8859.86,1.44,96,1235,2016/2/2
22,000001.SH,20160203,2739.247,2719.574,2746.072,2696.884,148397217,146627121.7,0.54,1.56,12.97,12.92,1.47,0.923319047,-1.436983252,-5.378923173,,36.57823707,-5.991746209,-557143.2883,,-9.898304365,168864261.2,,135382933.5,46078662.23,,,1.724,0.48628127,,5.50391E+11,106.5066782,-0.09723782,-0.456190681,0.251046544,,,,1,863.57,0.0018,1912.53,0.5,8779.94,-0.9,-2058,1585,2016/2/3
23,000001.SH,20160204,2781.023,2751.432,2793.298,2751.314,170382018,175347388.4,0.62,1.79,13.16,13.1,1.49,1.524653311,0.425586466,-3.361739291,,46.4176984,-7.537764327,2598480.233,,-17.000066,163517713.4,,289405771.7,37105692.89,,,1.722,0.391991877,,5.62605E+11,88.18682192,-0.087437439,-0.279912215,0.411523676,,,,-1,875.04,0.0133,1915.45,0.15,8872.83,1.06,519,0,2016/2/4
24,000001.SH,20160205,2763.492,2783.076,2790.061,2762.16,141186284,145553630.9,0.51,1.48,13.08,13.02,1.48,0.694306286,0.347194673,-3.260076255,,51.01277085,-7.162375441,-890009.4479,,-34.78858461,159883749.6,,292373115.8,31914839.39,,,1.626,0.336831599,,5.36487E+11,88.32735723,-0.05851231,-0.293347412,-0.278510822,,,,1,871.02,-0.0046,1880.05,-1.85,8851.03,-0.25,241,0,2016/2/5
25,000001.SH,20160215,2746.196,2684.961,2760.359,2682.09,129263932,129321056,0.47,1.35,12.99,12.94,1.47,-0.35231976,0.420426587,-3.408208448,,50.86476224,-4.661928108,-809030.3746,,-32.56111569,151436123.5,,243662055.6,27564967.41,72.76922825,,1.568,0.29148621,,5.12283E+11,83.06078676,-0.248488528,-0.036253761,0.898741743,,,,1,875.24,0.0048,1880.05,-1.85,8774.55,-0.86,124,1101,2016/2/15
26,000001.SH,20160216,2836.571,2758.579,2840.622,2758.579,195961614,198969133.4,0.71,2.05,13.42,13.36,1.52,2.281219763,3.397046531,0.098487177,,65.40217637,-2.742646993,6448931.855,,22.62105873,159125855.5,,512683937.5,27058384.19,91.47415006,47.76945176,1.646,0.285470987,43.70469829,5.08291E+11,88.0852318,-0.343376763,-0.259481373,1.080008852,,,,1,876.21,0.0011,1895.58,1.65,8993.09,2.49,532,456,2016/2/16
27,000001.SH,20160217,2867.338,2829.764,2868.701,2824.356,216909925,225964250.1,0.79,2.27,13.55,13.49,1.53,2.444296451,4.0188856,1.331282378,,71.0278969,-2.422209858,2352723.645,,41.73501147,170297096.8,,551547670.9,28178840.73,84.79257374,50.48006994,1.788,0.296356826,34.31250379,5.10088E+11,81.0141136,-0.548450613,0.304094037,0.530467832,,,,1,872.68,-0.004,1926.82,1.65,9048.34,0.61,-44,872,2016/2/17
